N,U/L,Avg_Frac_1,Avg_Frac_2
8,1.5,0.35620000000000007,0.6437999999999999
8,1.6,0.4471,0.5529
8,1.7,0.33840000000000003,0.6616
8,1.8,0.5119,0.4881
8,1.9,0.5456,0.4544
8,2.0,0.4347000000000001,0.5652999999999999
8,2.1,0.5710999999999999,0.4289
8,2.2,0.7234,0.2766
8,2.3,0.5517,0.44830000000000003
8,2.4,0.7648999999999998,0.23510000000000006
8,2.5,0.7082999999999999,0.2917
8,2.6,0.6227,0.37729999999999997
8,2.7,0.7199000000000001,0.28009999999999996
8,2.8,0.7637999999999999,0.23620000000000002
8,2.9,0.5269999999999999,0.47300000000000003
8,3.0,0.7949999999999998,0.205
8,3.1,0.7864,0.21359999999999996
8,3.2,0.8319999999999999,0.168
8,3.3,0.8212999999999999,0.1787
8,3.4,0.7531,0.24689999999999998
8,3.5,0.871,0.129
8,3.6,0.7430000000000001,0.257
8,3.7,0.8625000000000002,0.1375
8,3.8,0.8220000000000002,0.17799999999999996
8,3.9,0.8464,0.1536
8,4.0,0.7974,0.20259999999999997
8,4.1,0.8369999999999999,0.163
8,4.2,0.8628999999999999,0.1371
8,4.3,0.8513,0.1487
8,4.4,0.9523999999999999,0.047599999999999996
8,4.5,0.8671000000000001,0.1329
8,4.6,0.8588,0.14119999999999996
8,4.7,0.8933,0.10670000000000002
8,4.8,0.8522,0.14780000000000001
8,4.9,0.871,0.129
8,5.0,0.8560000000000001,0.14400000000000002
8,5.1,0.9047,0.0953
8,5.2,0.8811999999999999,0.1188
8,5.3,0.9029,0.0971
8,5.4,0.9154000000000001,0.08460000000000001
8,5.5,0.9074000000000001,0.09259999999999997
8,5.6,0.9239,0.0761
8,5.7,0.8886999999999999,0.11130000000000001
8,5.8,0.953,0.047
8,5.9,0.9035,0.0965
8,6.0,0.8949000000000001,0.1051
8,6.1,0.9336,0.0664
8,6.2,0.9358,0.0642
8,6.3,0.9300999999999999,0.0699
8,6.4,0.9125,0.0875
8,6.5,0.9256,0.0744
8,6.6,0.9501,0.0499
8,6.7,0.8898,0.11019999999999999
8,6.8,0.9329,0.06709999999999999
8,6.9,0.8946999999999998,0.10529999999999999
8,7.0,0.9254000000000002,0.07460000000000001
8,7.1,0.951,0.048999999999999995
8,7.2,0.8733000000000001,0.1267
8,7.3,0.9298000000000002,0.0702
8,7.4,0.9407,0.059300000000000005
8,7.5,0.9053,0.09469999999999999
8,7.6,0.9354999999999998,0.0645
8,7.7,0.9663999999999998,0.03359999999999999
8,7.8,0.9592,0.04080000000000001
8,7.9,0.9817,0.0183
8,8.0,0.9629000000000001,0.0371
8,8.1,0.9562999999999999,0.0437
8,8.2,0.9102000000000001,0.08980000000000002
8,8.3,0.9479,0.05210000000000001
